query_id,source_query_id,language,question,relevant_document_id,relevant_section_id,expected_key_points,answerable,expected_status,data_split,calibration_source,negative_type,boundary_category,boundary_reason,dataset_provenance
CAL-P-021,RAG-044,bn,ফ্যাক্টরি নীতি অনুযায়ী Evidence and uncertainty বিষয়ে কী করতে হবে?,DOC-008,DOC-008-S01,"The system must distinguish measured data, model predictions, retrieved evidence, AI suggestions, human decisions, and observed outcomes.",true,supported,calibration,validation_supported,,,,synthetic
CAL-P-022,RAG-047,bn,ফ্যাক্টরি নীতি অনুযায়ী Untrusted instructions বিষয়ে কী করতে হবে?,DOC-008,DOC-008-S02,Instructions found inside uploaded documents or notes are untrusted content and cannot override system policy or authorize a tool call.,true,supported,calibration,validation_supported,,,,synthetic
CAL-P-023,RAG-048,mixed,Factory policy অনুযায়ী Untrusted instructions হলে কী action নিতে হবে?,DOC-008,DOC-008-S02,Instructions found inside uploaded documents or notes are untrusted content and cannot override system policy or authorize a tool call.,true,supported,calibration,validation_supported,,,,synthetic
CAL-N-001,,en,What is the factory's overtime wage rate per hour?,,,,false,insufficient_evidence,calibration,new_boundary_negative,unsupported_specificity,payroll_policy,The current corpus does not contain an overtime wage-rate policy.,synthetic
CAL-N-002,,en,Which bank account should supplier invoices be paid from?,,,,false,insufficient_evidence,calibration,new_boundary_negative,out_of_scope_policy,supplier_payment,The current corpus does not contain supplier payment or banking instructions.,synthetic
CAL-N-003,,en,What export customs documents are required for a shipment to Europe?,,,,false,insufficient_evidence,calibration,new_boundary_negative,out_of_scope_policy,export_customs,The current corpus contains no export-customs procedure.,synthetic
CAL-N-004,,en,What is the approved annual employee salary increment percentage?,,,,false,insufficient_evidence,calibration,new_boundary_negative,unsupported_specificity,compensation_policy,The workforce corpus does not define annual salary increments.,synthetic
CAL-N-005,,en,Which insurance provider handles worker injury claims?,,,,false,insufficient_evidence,calibration,new_boundary_negative,out_of_scope_policy,insurance_claims,The current corpus contains no worker-insurance provider or claims procedure.,synthetic
CAL-N-006,,bn,কর্মীদের বার্ষিক ছুটির মোট সংখ্যা কত?,,,,false,insufficient_evidence,calibration,new_boundary_negative,unsupported_specificity,leave_policy,The current workforce policy does not define annual leave entitlement.,synthetic
CAL-N-007,,bn,নতুন কর্মী নিয়োগের ইন্টারভিউ ও বেতন অনুমোদনের নিয়ম কী?,,,,false,insufficient_evidence,calibration,new_boundary_negative,out_of_scope_policy,recruitment_policy,"The current corpus contains no recruitment, interview, or hiring-compensation procedure.",synthetic
CAL-N-008,,bn,কর্মী ছাঁটাই বা চাকরি সমাপ্তির আনুষ্ঠানিক প্রক্রিয়া কী?,,,,false,insufficient_evidence,calibration,new_boundary_negative,out_of_scope_policy,termination_policy,The current corpus contains no employee termination procedure.,synthetic
CAL-N-009,,bn,ফায়ার ইভাকুয়েশনের সময় নির্ধারিত অ্যাসেম্বলি পয়েন্ট কোথায়?,,,,false,insufficient_evidence,calibration,new_boundary_negative,out_of_scope_policy,emergency_safety,The current corpus contains no fire-evacuation or assembly-point procedure.,synthetic
CAL-N-010,,bn,কারখানার বিদ্যুৎ বিলের বর্তমান ট্যারিফ কত?,,,,false,insufficient_evidence,calibration,new_boundary_negative,external_live_state,utility_tariff,A current electricity tariff is external live information and is not stored in the corpus.,synthetic
CAL-N-011,,bn,কাঁচামাল কেনার জন্য কোন সরবরাহকারীকে নির্বাচন করতে হবে?,,,,false,insufficient_evidence,calibration,new_boundary_negative,near_scope_boundary,procurement_vendor_selection,Material-shortage escalation does not establish supplier-selection authority.,synthetic
CAL-N-012,,bn,মেশিনের স্পেয়ার পার্ট কেনার সর্বোচ্চ অনুমোদিত বাজেট কত?,,,,false,insufficient_evidence,calibration,new_boundary_negative,near_scope_boundary,maintenance_procurement_budget,The downtime procedure does not supply a spare-parts purchasing budget.,synthetic
CAL-N-013,,bn,গুদামের স্টক ভ্যালু হিসাবের অ্যাকাউন্টিং পদ্ধতি কী?,,,,false,insufficient_evidence,calibration,new_boundary_negative,out_of_scope_policy,inventory_accounting,The current corpus contains no inventory valuation accounting policy.,synthetic
CAL-N-014,,bn,কর্মীর চিকিৎসা ছুটির জন্য কোন মেডিকেল সনদ বাধ্যতামূলক?,,,,false,insufficient_evidence,calibration,new_boundary_negative,out_of_scope_policy,medical_leave_policy,The current corpus contains no medical-leave certificate requirements.,synthetic
CAL-N-015,,bn,ভ্যাট ও কর রিটার্ন জমা দেওয়ার দায়িত্ব কার?,,,,false,insufficient_evidence,calibration,new_boundary_negative,out_of_scope_policy,tax_compliance,The current corpus contains no VAT or tax-return responsibility policy.,synthetic
CAL-N-016,,mixed,Buyer contract-এর price negotiation কে approve করে?,,,,false,insufficient_evidence,calibration,new_boundary_negative,out_of_scope_policy,commercial_contracting,The approval corpus does not define commercial buyer-contract price negotiation.,synthetic
CAL-N-017,,mixed,Fabric supplier-এর late delivery penalty কত?,,,,false,insufficient_evidence,calibration,new_boundary_negative,near_scope_boundary,supplier_contract_penalty,Material-shortage guidance does not define supplier contractual penalties.,synthetic
CAL-N-018,,mixed,Shipment booking-এর জন্য কোন freight forwarder use করতে হবে?,,,,false,insufficient_evidence,calibration,new_boundary_negative,out_of_scope_policy,logistics_vendor_selection,The current corpus contains no shipment-booking or freight-forwarder selection procedure.,synthetic
CAL-N-019,,mixed,ERP system-এ new user account কে create করে?,,,,false,insufficient_evidence,calibration,new_boundary_negative,out_of_scope_policy,it_access_management,The AI safety policy does not define ERP account administration.,synthetic
CAL-N-020,,mixed,Buyer complaint-এর official response SLA কত hours?,,,,false,insufficient_evidence,calibration,new_boundary_negative,unsupported_specificity,buyer_service_policy,The current corpus does not define a buyer-complaint response SLA.,synthetic
CAL-N-021,,mixed,Monthly payroll process-এ bonus calculation formula কী?,,,,false,insufficient_evidence,calibration,new_boundary_negative,out_of_scope_policy,payroll_compensation,The current corpus contains no payroll bonus-calculation policy.,synthetic
CAL-N-022,,mixed,Export order-এর current USD-BDT exchange rate কোনটা use করতে হবে?,,,,false,insufficient_evidence,calibration,new_boundary_negative,external_live_state,foreign_exchange,A current currency exchange rate is external live information and is not stored in the corpus.,synthetic
CAL-N-023,,mixed,External compliance audit-এর next scheduled date কী?,,,,false,insufficient_evidence,calibration,new_boundary_negative,external_live_state,external_audit_schedule,The current corpus does not contain a live external-audit calendar.,synthetic
