note_id,factory_id,line_id,order_id,work_date,created_at,language,note_text,root_cause_label,urgency_label,blocking,mentioned_downtime_minutes,data_split,dataset_provenance
NOTE-000017,FAC-001,LINE-01,ORD-01-003,2025-01-22,2025-01-22T12:30:00+00:00,bn,"কোয়ালিটি চেকে বেশি ত্রুটি পাওয়া গেছে, ইনলাইন সংশোধন চলছে।",quality,medium,False,0,train,synthetic
NOTE-000018,FAC-001,LINE-01,ORD-01-003,2025-01-23,2025-01-23T12:30:00+00:00,bn,উৎপাদন পরিকল্পনা অনুযায়ী চলছে।,none,low,False,0,train,synthetic
NOTE-000019,FAC-001,LINE-01,ORD-01-003,2025-01-25,2025-01-25T12:30:00+00:00,en,Production is progressing according to plan.,none,low,False,0,train,synthetic
NOTE-000020,FAC-001,LINE-01,ORD-01-003,2025-01-26,2025-01-26T12:30:00+00:00,mixed,"Line স্বাভাবিক চলছে, major issue নেই।",none,low,False,0,train,synthetic
NOTE-000021,FAC-001,LINE-01,ORD-01-004,2025-01-27,2025-01-27T12:30:00+00:00,en,A priority change delayed the planned production sequence.,planning,medium,False,0,train,synthetic
NOTE-000022,FAC-001,LINE-01,ORD-01-004,2025-01-28,2025-01-28T12:30:00+00:00,mixed,Production plan অনুযায়ী চলছে।,none,low,False,0,train,synthetic
NOTE-000023,FAC-001,LINE-01,ORD-01-004,2025-01-29,2025-01-29T12:30:00+00:00,bn,উৎপাদন পরিকল্পনা অনুযায়ী চলছে।,none,low,False,0,train,synthetic
NOTE-000024,FAC-001,LINE-01,ORD-01-004,2025-01-30,2025-01-30T12:30:00+00:00,bn,উৎপাদন পরিকল্পনা অনুযায়ী চলছে।,none,low,False,0,train,synthetic
NOTE-000025,FAC-001,LINE-01,ORD-01-004,2025-02-01,2025-02-01T12:30:00+00:00,mixed,"আজ 6 জন operator absent, তাই output target-এর নিচে।",manpower,medium,False,0,train,synthetic
NOTE-000026,FAC-001,LINE-01,ORD-01-004,2025-02-02,2025-02-02T12:30:00+00:00,bn,"আজ 7 জন অপারেটর অনুপস্থিত, আউটপুট লক্ষ্যের নিচে।",manpower,medium,False,0,train,synthetic
NOTE-000027,FAC-001,LINE-01,ORD-01-004,2025-02-03,2025-02-03T12:30:00+00:00,en,Several operations are constrained because skilled operators are unavailable.,manpower,medium,False,0,train,synthetic
NOTE-000028,FAC-001,LINE-01,ORD-01-004,2025-02-04,2025-02-04T12:30:00+00:00,en,Production is progressing according to plan.,none,low,False,0,train,synthetic
NOTE-000029,FAC-001,LINE-01,ORD-01-004,2025-02-05,2025-02-05T12:30:00+00:00,en,Production is progressing according to plan.,none,low,False,0,train,synthetic
NOTE-000030,FAC-001,LINE-01,ORD-01-004,2025-02-06,2025-02-06T12:30:00+00:00,mixed,Production plan অনুযায়ী চলছে।,none,low,False,0,train,synthetic
NOTE-000031,FAC-001,LINE-01,ORD-01-004,2025-02-08,2025-02-08T12:30:00+00:00,bn,"লাইন স্বাভাবিকভাবে চলছে, বড় কোনো সমস্যা নেই।",none,low,False,0,train,synthetic
NOTE-000032,FAC-001,LINE-01,ORD-01-005,2025-02-09,2025-02-09T12:30:00+00:00,mixed,"uneven stitch defect বেড়েছে, rework-এর কারণে output কম।",quality,medium,False,0,train,synthetic
NOTE-000033,FAC-001,LINE-01,ORD-01-005,2025-02-10,2025-02-10T12:30:00+00:00,bn,"লাইন স্বাভাবিকভাবে চলছে, বড় কোনো সমস্যা নেই।",none,low,False,0,train,synthetic
NOTE-000034,FAC-001,LINE-01,ORD-01-005,2025-02-11,2025-02-11T12:30:00+00:00,bn,উৎপাদন পরিকল্পনা অনুযায়ী চলছে।,none,low,False,0,train,synthetic
NOTE-000035,FAC-001,LINE-01,ORD-01-005,2025-02-12,2025-02-12T12:30:00+00:00,en,The line is operating normally with no major issue.,none,low,False,0,train,synthetic
NOTE-000036,FAC-001,LINE-01,ORD-01-005,2025-02-13,2025-02-13T12:30:00+00:00,en,Inline inspection found a higher defect rate; correction is in progress.,quality,medium,False,0,train,synthetic
NOTE-000037,FAC-001,LINE-01,ORD-01-005,2025-02-15,2025-02-15T12:30:00+00:00,en,The line is operating normally with no major issue.,none,low,False,0,train,synthetic
NOTE-000038,FAC-001,LINE-01,ORD-01-005,2025-02-16,2025-02-16T12:30:00+00:00,en,7 operators are absent today and output is below plan.,manpower,medium,False,0,train,synthetic
NOTE-000039,FAC-001,LINE-01,ORD-01-005,2025-02-17,2025-02-17T12:30:00+00:00,en,The line is operating normally with no major issue.,none,low,False,0,train,synthetic
NOTE-000040,FAC-001,LINE-01,ORD-01-005,2025-02-18,2025-02-18T12:30:00+00:00,en,6 operators are absent today and output is below plan.,manpower,medium,False,0,train,synthetic
NOTE-000041,FAC-001,LINE-01,ORD-01-005,2025-02-19,2025-02-19T12:30:00+00:00,mixed,"Line স্বাভাবিক চলছে, major issue নেই।",none,low,False,0,train,synthetic
NOTE-000042,FAC-001,LINE-01,ORD-01-005,2025-02-20,2025-02-20T12:30:00+00:00,bn,"measurement variance সমস্যা বেড়েছে, রিওয়ার্কের কারণে আউটপুট কমছে।",quality,medium,False,0,train,synthetic
NOTE-000043,FAC-001,LINE-01,ORD-01-006,2025-02-22,2025-02-22T12:30:00+00:00,mixed,Available manpower-এর তুলনায় line target বেশি set করা হয়েছে।,planning,medium,False,0,train,synthetic
NOTE-000044,FAC-001,LINE-01,ORD-01-006,2025-02-23,2025-02-23T12:30:00+00:00,bn,উৎপাদন পরিকল্পনা অনুযায়ী চলছে।,none,low,False,0,train,synthetic
NOTE-000045,FAC-001,LINE-01,ORD-01-006,2025-02-24,2025-02-24T12:30:00+00:00,en,Production is progressing according to plan.,none,low,False,0,train,synthetic
NOTE-000046,FAC-001,LINE-01,ORD-01-006,2025-02-25,2025-02-25T12:30:00+00:00,mixed,"Line স্বাভাবিক চলছে, major issue নেই।",none,low,False,0,train,synthetic
NOTE-000047,FAC-001,LINE-01,ORD-01-006,2025-02-26,2025-02-26T12:30:00+00:00,bn,উৎপাদন পরিকল্পনা অনুযায়ী চলছে।,none,low,False,0,train,synthetic
NOTE-000048,FAC-001,LINE-01,ORD-01-006,2025-02-27,2025-02-27T12:30:00+00:00,mixed,Line output কমেছে because button hole machine had 40 minutes downtime.,machine,medium,False,40,train,synthetic
NOTE-000049,FAC-001,LINE-01,ORD-01-006,2025-03-01,2025-03-01T12:30:00+00:00,mixed,"Line স্বাভাবিক চলছে, major issue নেই।",none,low,False,0,train,synthetic
NOTE-000050,FAC-001,LINE-01,ORD-01-006,2025-03-02,2025-03-02T12:30:00+00:00,bn,উৎপাদন পরিকল্পনা অনুযায়ী চলছে।,none,low,False,0,train,synthetic
NOTE-000051,FAC-001,LINE-01,ORD-01-007,2025-03-03,2025-03-03T12:30:00+00:00,bn,"নতুন স্টাইলের অপারেশন ব্যালেন্স ঠিক হয়নি, বোতলনেক তৈরি হয়েছে।",method,medium,False,0,train,synthetic
NOTE-000052,FAC-001,LINE-01,ORD-01-007,2025-03-04,2025-03-04T12:30:00+00:00,bn,"আজ 7 জন অপারেটর অনুপস্থিত, আউটপুট লক্ষ্যের নিচে।",manpower,medium,False,0,train,synthetic
NOTE-000053,FAC-001,LINE-01,ORD-01-007,2025-03-05,2025-03-05T12:30:00+00:00,bn,দক্ষ অপারেটর কম থাকায় কয়েকটি অপারেশন আটকে আছে।,manpower,medium,False,0,train,synthetic
NOTE-000054,FAC-001,LINE-01,ORD-01-007,2025-03-06,2025-03-06T12:30:00+00:00,en,Material availability is below requirement and production is partially blocked.,material,high,True,0,train,synthetic
NOTE-000055,FAC-001,LINE-01,ORD-01-007,2025-03-08,2025-03-08T12:30:00+00:00,en,The line is operating normally with no major issue.,none,low,False,0,train,synthetic
NOTE-000056,FAC-001,LINE-01,ORD-01-007,2025-03-09,2025-03-09T12:30:00+00:00,bn,"লাইন স্বাভাবিকভাবে চলছে, বড় কোনো সমস্যা নেই।",none,low,False,0,train,synthetic
NOTE-000057,FAC-001,LINE-01,ORD-01-007,2025-03-10,2025-03-10T12:30:00+00:00,en,Production is progressing according to plan.,none,low,False,0,train,synthetic
NOTE-000058,FAC-001,LINE-01,ORD-01-007,2025-03-11,2025-03-11T12:30:00+00:00,en,The line is operating normally with no major issue.,none,low,False,0,train,synthetic
NOTE-000059,FAC-001,LINE-01,ORD-01-007,2025-03-12,2025-03-12T12:30:00+00:00,bn,"লাইন স্বাভাবিকভাবে চলছে, বড় কোনো সমস্যা নেই।",none,low,False,0,train,synthetic
NOTE-000060,FAC-001,LINE-01,ORD-01-007,2025-03-13,2025-03-13T12:30:00+00:00,bn,"আজ 5 জন অপারেটর অনুপস্থিত, আউটপুট লক্ষ্যের নিচে।",manpower,medium,False,0,train,synthetic
NOTE-000061,FAC-001,LINE-01,ORD-01-008,2025-03-15,2025-03-15T12:30:00+00:00,bn,লাইনের লক্ষ্য বর্তমান জনবল ও স্টাইল জটিলতার তুলনায় বেশি নির্ধারণ করা হয়েছে।,planning,medium,False,0,train,synthetic
NOTE-000062,FAC-001,LINE-01,ORD-01-008,2025-03-16,2025-03-16T12:30:00+00:00,bn,দক্ষ অপারেটর কম থাকায় কয়েকটি অপারেশন আটকে আছে।,manpower,medium,False,0,train,synthetic
NOTE-000063,FAC-001,LINE-01,ORD-01-008,2025-03-17,2025-03-17T12:30:00+00:00,bn,দক্ষ অপারেটর কম থাকায় কয়েকটি অপারেশন আটকে আছে।,manpower,medium,False,0,train,synthetic
NOTE-000064,FAC-001,LINE-01,ORD-01-008,2025-03-18,2025-03-18T12:30:00+00:00,bn,"লাইন স্বাভাবিকভাবে চলছে, বড় কোনো সমস্যা নেই।",none,low,False,0,train,synthetic
NOTE-000065,FAC-001,LINE-01,ORD-01-008,2025-03-19,2025-03-19T12:30:00+00:00,bn,"লাইন স্বাভাবিকভাবে চলছে, বড় কোনো সমস্যা নেই।",none,low,False,0,train,synthetic
NOTE-000066,FAC-001,LINE-01,ORD-01-008,2025-03-20,2025-03-20T12:30:00+00:00,bn,"প্রয়োজনীয় ম্যাটেরিয়াল কম আছে, উৎপাদন আংশিকভাবে বন্ধ।",material,high,True,0,train,synthetic
NOTE-000067,FAC-001,LINE-01,ORD-01-008,2025-03-22,2025-03-22T12:30:00+00:00,bn,উৎপাদন পরিকল্পনা অনুযায়ী চলছে।,none,low,False,0,train,synthetic
NOTE-000068,FAC-001,LINE-01,ORD-01-009,2025-03-23,2025-03-23T12:30:00+00:00,mixed,Skilled operator কম থাকায় কিছু operation bottleneck হয়েছে।,manpower,medium,False,0,train,synthetic
NOTE-000069,FAC-001,LINE-01,ORD-01-009,2025-03-24,2025-03-24T12:30:00+00:00,bn,"আজ 8 জন অপারেটর অনুপস্থিত, আউটপুট লক্ষ্যের নিচে।",manpower,medium,False,0,train,synthetic
NOTE-000070,FAC-001,LINE-01,ORD-01-009,2025-03-25,2025-03-25T12:30:00+00:00,mixed,"Line স্বাভাবিক চলছে, major issue নেই।",none,low,False,0,train,synthetic
NOTE-000071,FAC-001,LINE-01,ORD-01-009,2025-03-26,2025-03-26T12:30:00+00:00,en,The line is operating normally with no major issue.,none,low,False,0,train,synthetic
NOTE-000072,FAC-001,LINE-01,ORD-01-009,2025-03-27,2025-03-27T12:30:00+00:00,bn,"লাইন স্বাভাবিকভাবে চলছে, বড় কোনো সমস্যা নেই।",none,low,False,0,train,synthetic
NOTE-000073,FAC-001,LINE-01,ORD-01-009,2025-03-29,2025-03-29T12:30:00+00:00,bn,"লাইন স্বাভাবিকভাবে চলছে, বড় কোনো সমস্যা নেই।",none,low,False,0,train,synthetic
NOTE-000074,FAC-001,LINE-01,ORD-01-009,2025-03-30,2025-03-30T12:30:00+00:00,bn,উৎপাদন পরিকল্পনা অনুযায়ী চলছে।,none,low,False,0,train,synthetic
NOTE-000075,FAC-001,LINE-01,ORD-01-009,2025-03-31,2025-03-31T12:30:00+00:00,bn,"লাইন স্বাভাবিকভাবে চলছে, বড় কোনো সমস্যা নেই।",none,low,False,0,train,synthetic
NOTE-000076,FAC-001,LINE-01,ORD-01-009,2025-04-01,2025-04-01T12:30:00+00:00,mixed,Skilled operator কম থাকায় কিছু operation bottleneck হয়েছে।,manpower,medium,False,0,train,synthetic
NOTE-000077,FAC-001,LINE-01,ORD-01-010,2025-04-02,2025-04-02T12:30:00+00:00,en,A priority change delayed the planned production sequence.,planning,medium,False,0,train,synthetic
NOTE-000078,FAC-001,LINE-01,ORD-01-010,2025-04-03,2025-04-03T12:30:00+00:00,bn,"লাইন স্বাভাবিকভাবে চলছে, বড় কোনো সমস্যা নেই।",none,low,False,0,train,synthetic
NOTE-000079,FAC-001,LINE-01,ORD-01-010,2025-04-05,2025-04-05T12:30:00+00:00,bn,উৎপাদন পরিকল্পনা অনুযায়ী চলছে।,none,low,False,0,train,synthetic
NOTE-000080,FAC-001,LINE-01,ORD-01-010,2025-04-06,2025-04-06T12:30:00+00:00,en,The line is operating normally with no major issue.,none,low,False,0,train,synthetic
NOTE-000081,FAC-001,LINE-01,ORD-01-010,2025-04-07,2025-04-07T12:30:00+00:00,en,The line is operating normally with no major issue.,none,low,False,0,train,synthetic
NOTE-000082,FAC-001,LINE-01,ORD-01-010,2025-04-08,2025-04-08T12:30:00+00:00,mixed,Production plan অনুযায়ী চলছে।,none,low,False,0,train,synthetic
NOTE-000083,FAC-001,LINE-01,ORD-01-011,2025-04-09,2025-04-09T12:30:00+00:00,en,skip stitch defects increased and rework is reducing output.,quality,medium,False,0,train,synthetic
NOTE-000084,FAC-001,LINE-01,ORD-01-011,2025-04-10,2025-04-10T12:30:00+00:00,bn,"ট্রিমস সময়মতো আসেনি, লাইনের কাজ ধীর হয়েছে।",material,high,True,0,train,synthetic
NOTE-000085,FAC-001,LINE-01,ORD-01-011,2025-04-12,2025-04-12T12:30:00+00:00,en,Production is progressing according to plan.,none,low,False,0,train,synthetic
NOTE-000086,FAC-001,LINE-01,ORD-01-011,2025-04-13,2025-04-13T12:30:00+00:00,mixed,Production plan অনুযায়ী চলছে।,none,low,False,0,train,synthetic
NOTE-000087,FAC-001,LINE-01,ORD-01-011,2025-04-14,2025-04-14T12:30:00+00:00,bn,উৎপাদন পরিকল্পনা অনুযায়ী চলছে।,none,low,False,0,train,synthetic
NOTE-000088,FAC-001,LINE-01,ORD-01-011,2025-04-15,2025-04-15T12:30:00+00:00,bn,"লাইন স্বাভাবিকভাবে চলছে, বড় কোনো সমস্যা নেই।",none,low,False,0,train,synthetic
NOTE-000089,FAC-001,LINE-01,ORD-01-011,2025-04-16,2025-04-16T12:30:00+00:00,mixed,Production plan অনুযায়ী চলছে।,none,low,False,0,train,synthetic
NOTE-000090,FAC-001,LINE-01,ORD-01-012,2025-04-17,2025-04-17T12:30:00+00:00,en,The single needle machine was down for 55 minutes; maintenance is checking it.,machine,medium,True,55,train,synthetic
NOTE-000091,FAC-001,LINE-01,ORD-01-012,2025-04-19,2025-04-19T12:30:00+00:00,en,Production is progressing according to plan.,none,low,False,0,train,synthetic
NOTE-000092,FAC-001,LINE-01,ORD-01-012,2025-04-20,2025-04-20T12:30:00+00:00,mixed,"Line স্বাভাবিক চলছে, major issue নেই।",none,low,False,0,train,synthetic
NOTE-000093,FAC-001,LINE-01,ORD-01-012,2025-04-21,2025-04-21T12:30:00+00:00,mixed,"Required trims সময়মতো আসেনি, line output কমেছে।",material,high,True,0,train,synthetic
NOTE-000094,FAC-001,LINE-01,ORD-01-012,2025-04-22,2025-04-22T12:30:00+00:00,mixed,Line output কমেছে because button attach machine had 35 minutes downtime.,machine,medium,False,35,train,synthetic
NOTE-000095,FAC-001,LINE-01,ORD-01-012,2025-04-23,2025-04-23T12:30:00+00:00,en,Production is progressing according to plan.,none,low,False,0,train,synthetic
NOTE-000096,FAC-001,LINE-01,ORD-01-012,2025-04-24,2025-04-24T12:30:00+00:00,en,Production is progressing according to plan.,none,low,False,0,train,synthetic
NOTE-000097,FAC-001,LINE-01,ORD-01-013,2025-04-26,2025-04-26T12:30:00+00:00,bn,অর্ডার অগ্রাধিকার পরিবর্তনের কারণে পরিকল্পনায় বিলম্ব হয়েছে।,planning,medium,False,0,train,synthetic
NOTE-000098,FAC-001,LINE-01,ORD-01-013,2025-04-27,2025-04-27T12:30:00+00:00,en,The line is operating normally with no major issue.,none,low,False,0,train,synthetic
NOTE-000099,FAC-001,LINE-01,ORD-01-013,2025-04-28,2025-04-28T12:30:00+00:00,bn,দক্ষ অপারেটর কম থাকায় কয়েকটি অপারেশন আটকে আছে।,manpower,medium,False,0,train,synthetic
NOTE-000100,FAC-001,LINE-01,ORD-01-013,2025-04-29,2025-04-29T12:30:00+00:00,bn,উৎপাদন পরিকল্পনা অনুযায়ী চলছে।,none,low,False,0,train,synthetic
NOTE-000101,FAC-001,LINE-01,ORD-01-013,2025-04-30,2025-04-30T12:30:00+00:00,bn,উৎপাদন পরিকল্পনা অনুযায়ী চলছে।,none,low,False,0,train,synthetic
NOTE-000102,FAC-001,LINE-01,ORD-01-013,2025-05-01,2025-05-01T12:30:00+00:00,bn,"লাইন স্বাভাবিকভাবে চলছে, বড় কোনো সমস্যা নেই।",none,low,False,0,validation,synthetic
NOTE-000103,FAC-001,LINE-01,ORD-01-013,2025-05-03,2025-05-03T12:30:00+00:00,bn,উৎপাদন পরিকল্পনা অনুযায়ী চলছে।,none,low,False,0,validation,synthetic
NOTE-000104,FAC-001,LINE-01,ORD-01-013,2025-05-04,2025-05-04T12:30:00+00:00,en,Several operations are constrained because skilled operators are unavailable.,manpower,medium,False,0,validation,synthetic
NOTE-000105,FAC-001,LINE-01,ORD-01-013,2025-05-05,2025-05-05T12:30:00+00:00,bn,"লাইন স্বাভাবিকভাবে চলছে, বড় কোনো সমস্যা নেই।",none,low,False,0,validation,synthetic
NOTE-000106,FAC-001,LINE-01,ORD-01-013,2025-05-06,2025-05-06T12:30:00+00:00,bn,"লাইন স্বাভাবিকভাবে চলছে, বড় কোনো সমস্যা নেই।",none,low,False,0,validation,synthetic
NOTE-000107,FAC-001,LINE-01,ORD-01-013,2025-05-07,2025-05-07T12:30:00+00:00,mixed,"Line স্বাভাবিক চলছে, major issue নেই।",none,low,False,0,validation,synthetic
NOTE-000108,FAC-001,LINE-01,ORD-01-014,2025-05-08,2025-05-08T12:30:00+00:00,bn,"skip stitch সমস্যা বেড়েছে, রিওয়ার্কের কারণে আউটপুট কমছে।",quality,medium,False,0,validation,synthetic
NOTE-000109,FAC-001,LINE-01,ORD-01-014,2025-05-10,2025-05-10T12:30:00+00:00,bn,উৎপাদন পরিকল্পনা অনুযায়ী চলছে।,none,low,False,0,validation,synthetic
NOTE-000110,FAC-001,LINE-01,ORD-01-014,2025-05-11,2025-05-11T12:30:00+00:00,en,Production is progressing according to plan.,none,low,False,0,validation,synthetic
NOTE-000111,FAC-001,LINE-01,ORD-01-014,2025-05-12,2025-05-12T12:30:00+00:00,bn,উৎপাদন পরিকল্পনা অনুযায়ী চলছে।,none,low,False,0,validation,synthetic
NOTE-000112,FAC-001,LINE-01,ORD-01-014,2025-05-13,2025-05-13T12:30:00+00:00,bn,"লাইন স্বাভাবিকভাবে চলছে, বড় কোনো সমস্যা নেই।",none,low,False,0,validation,synthetic
NOTE-000113,FAC-001,LINE-01,ORD-01-014,2025-05-14,2025-05-14T12:30:00+00:00,en,The line is operating normally with no major issue.,none,low,False,0,validation,synthetic
NOTE-000114,FAC-001,LINE-01,ORD-01-014,2025-05-15,2025-05-15T12:30:00+00:00,bn,"লাইন স্বাভাবিকভাবে চলছে, বড় কোনো সমস্যা নেই।",none,low,False,0,validation,synthetic
NOTE-000115,FAC-001,LINE-01,ORD-01-014,2025-05-17,2025-05-17T12:30:00+00:00,en,Several operations are constrained because skilled operators are unavailable.,manpower,medium,False,0,validation,synthetic
NOTE-000116,FAC-001,LINE-01,ORD-01-014,2025-05-18,2025-05-18T12:30:00+00:00,en,The flatlock machine was down for 55 minutes; maintenance is checking it.,machine,medium,True,55,validation,synthetic
NOTE-000117,FAC-001,LINE-01,ORD-01-014,2025-05-19,2025-05-19T12:30:00+00:00,bn,উৎপাদন পরিকল্পনা অনুযায়ী চলছে।,none,low,False,0,validation,synthetic
NOTE-000118,FAC-001,LINE-01,ORD-01-014,2025-05-20,2025-05-20T12:30:00+00:00,en,Output stopped for 55 minutes because of a single needle machine problem.,machine,medium,True,55,validation,synthetic
NOTE-000119,FAC-001,LINE-01,ORD-01-014,2025-05-21,2025-05-21T12:30:00+00:00,en,The line is operating normally with no major issue.,none,low,False,0,validation,synthetic
NOTE-000120,FAC-001,LINE-01,ORD-01-015,2025-05-22,2025-05-22T12:30:00+00:00,bn,লাইনের লক্ষ্য বর্তমান জনবল ও স্টাইল জটিলতার তুলনায় বেশি নির্ধারণ করা হয়েছে।,planning,medium,False,0,validation,synthetic
NOTE-000121,FAC-001,LINE-01,ORD-01-015,2025-05-24,2025-05-24T12:30:00+00:00,en,The line is operating normally with no major issue.,none,low,False,0,validation,synthetic
NOTE-000122,FAC-001,LINE-01,ORD-01-015,2025-05-25,2025-05-25T12:30:00+00:00,bn,"লাইন স্বাভাবিকভাবে চলছে, বড় কোনো সমস্যা নেই।",none,low,False,0,validation,synthetic
NOTE-000123,FAC-001,LINE-01,ORD-01-015,2025-05-26,2025-05-26T12:30:00+00:00,en,Production is progressing according to plan.,none,low,False,0,validation,synthetic
NOTE-000124,FAC-001,LINE-01,ORD-01-015,2025-05-27,2025-05-27T12:30:00+00:00,bn,উৎপাদন পরিকল্পনা অনুযায়ী চলছে।,none,low,False,0,validation,synthetic
NOTE-000125,FAC-001,LINE-01,ORD-01-015,2025-05-28,2025-05-28T12:30:00+00:00,bn,"কোয়ালিটি চেকে বেশি ত্রুটি পাওয়া গেছে, ইনলাইন সংশোধন চলছে।",quality,medium,False,0,validation,synthetic
NOTE-000126,FAC-001,LINE-01,ORD-01-015,2025-05-29,2025-05-29T12:30:00+00:00,bn,উৎপাদন পরিকল্পনা অনুযায়ী চলছে।,none,low,False,0,validation,synthetic
NOTE-000127,FAC-001,LINE-01,ORD-01-016,2025-05-31,2025-05-31T12:30:00+00:00,en,The line target is high relative to available operators and style complexity.,planning,medium,False,0,validation,synthetic
NOTE-000128,FAC-001,LINE-01,ORD-01-016,2025-06-01,2025-06-01T12:30:00+00:00,bn,উৎপাদন পরিকল্পনা অনুযায়ী চলছে।,none,low,False,0,test,synthetic
NOTE-000129,FAC-001,LINE-01,ORD-01-016,2025-06-02,2025-06-02T12:30:00+00:00,en,The line is operating normally with no major issue.,none,low,False,0,test,synthetic
NOTE-000130,FAC-001,LINE-01,ORD-01-016,2025-06-03,2025-06-03T12:30:00+00:00,bn,উৎপাদন পরিকল্পনা অনুযায়ী চলছে।,none,low,False,0,test,synthetic
NOTE-000131,FAC-001,LINE-01,ORD-01-016,2025-06-04,2025-06-04T12:30:00+00:00,mixed,Production plan অনুযায়ী চলছে।,none,low,False,0,test,synthetic
NOTE-000132,FAC-001,LINE-01,ORD-01-016,2025-06-05,2025-06-05T12:30:00+00:00,mixed,"Line স্বাভাবিক চলছে, major issue নেই।",none,low,False,0,test,synthetic
NOTE-000133,FAC-001,LINE-01,ORD-01-016,2025-06-07,2025-06-07T12:30:00+00:00,bn,উৎপাদন পরিকল্পনা অনুযায়ী চলছে।,none,low,False,0,test,synthetic
NOTE-000134,FAC-001,LINE-01,ORD-01-016,2025-06-08,2025-06-08T12:30:00+00:00,bn,"লাইন স্বাভাবিকভাবে চলছে, বড় কোনো সমস্যা নেই।",none,low,False,0,test,synthetic
NOTE-000135,FAC-001,LINE-01,ORD-01-016,2025-06-09,2025-06-09T12:30:00+00:00,mixed,Production plan অনুযায়ী চলছে।,none,low,False,0,test,synthetic
NOTE-000136,FAC-001,LINE-01,ORD-01-017,2025-06-10,2025-06-10T12:30:00+00:00,bn,"আজ 7 জন অপারেটর অনুপস্থিত, আউটপুট লক্ষ্যের নিচে।",manpower,medium,False,0,test,synthetic
NOTE-000137,FAC-001,LINE-01,ORD-01-017,2025-06-11,2025-06-11T12:30:00+00:00,bn,"লাইন স্বাভাবিকভাবে চলছে, বড় কোনো সমস্যা নেই।",none,low,False,0,test,synthetic
