action_id,factory_id,line_id,order_id,note_id,work_date,root_cause,action_type,owner_role,approval_decision,approval_required,created_at,approved_at,status,due_at,idempotency_key,data_split,dataset_provenance
ACT-000019,FAC-001,LINE-01,ORD-01-007,NOTE-000051,2025-03-03,method,line_rebalancing,industrial_engineering,approved,True,2025-03-03T13:10:00+00:00,2025-03-03T13:35:00+00:00,completed,2025-03-03T17:00:00+00:00,LINE-01:2025-03-03:line_rebalancing,train,synthetic
ACT-000020,FAC-001,LINE-01,ORD-01-007,NOTE-000052,2025-03-04,manpower,operator_reallocation,production,approved,True,2025-03-04T13:10:00+00:00,2025-03-04T13:35:00+00:00,completed,2025-03-04T17:00:00+00:00,LINE-01:2025-03-04:operator_reallocation,train,synthetic
ACT-000021,FAC-001,LINE-01,ORD-01-007,NOTE-000053,2025-03-05,manpower,operator_reallocation,production,approved,True,2025-03-05T13:10:00+00:00,2025-03-05T13:35:00+00:00,completed,2025-03-05T17:00:00+00:00,LINE-01:2025-03-05:operator_reallocation,train,synthetic
ACT-000022,FAC-001,LINE-01,ORD-01-007,NOTE-000054,2025-03-06,material,material_escalation,store_and_planning,edited,True,2025-03-06T13:10:00+00:00,2025-03-06T13:35:00+00:00,completed,2025-03-06T17:00:00+00:00,LINE-01:2025-03-06:material_escalation,train,synthetic
ACT-000023,FAC-001,LINE-01,ORD-01-008,NOTE-000061,2025-03-15,planning,plan_review,planning,approved,True,2025-03-15T13:10:00+00:00,2025-03-15T13:35:00+00:00,completed,2025-03-15T17:00:00+00:00,LINE-01:2025-03-15:plan_review,train,synthetic
ACT-000024,FAC-001,LINE-01,ORD-01-008,NOTE-000062,2025-03-16,manpower,operator_reallocation,production,approved,True,2025-03-16T13:10:00+00:00,2025-03-16T13:35:00+00:00,in_progress,2025-03-16T17:00:00+00:00,LINE-01:2025-03-16:operator_reallocation,train,synthetic
ACT-000025,FAC-001,LINE-01,ORD-01-008,NOTE-000063,2025-03-17,manpower,operator_reallocation,production,rejected,True,2025-03-17T13:10:00+00:00,,not_executed,2025-03-17T17:00:00+00:00,LINE-01:2025-03-17:operator_reallocation,train,synthetic
ACT-000026,FAC-001,LINE-01,ORD-01-008,NOTE-000066,2025-03-20,material,material_escalation,store_and_planning,approved,True,2025-03-20T13:10:00+00:00,2025-03-20T13:35:00+00:00,completed,2025-03-20T17:00:00+00:00,LINE-01:2025-03-20:material_escalation,train,synthetic
ACT-000027,FAC-001,LINE-01,ORD-01-009,NOTE-000068,2025-03-23,manpower,operator_reallocation,production,approved,True,2025-03-23T13:10:00+00:00,2025-03-23T13:35:00+00:00,completed,2025-03-23T17:00:00+00:00,LINE-01:2025-03-23:operator_reallocation,train,synthetic
ACT-000028,FAC-001,LINE-01,ORD-01-009,NOTE-000069,2025-03-24,manpower,operator_reallocation,production,approved,True,2025-03-24T13:10:00+00:00,2025-03-24T13:35:00+00:00,completed,2025-03-24T17:00:00+00:00,LINE-01:2025-03-24:operator_reallocation,train,synthetic
ACT-000029,FAC-001,LINE-01,ORD-01-010,NOTE-000077,2025-04-02,planning,plan_review,planning,approved,True,2025-04-02T13:10:00+00:00,2025-04-02T13:35:00+00:00,completed,2025-04-02T17:00:00+00:00,LINE-01:2025-04-02:plan_review,train,synthetic
ACT-000030,FAC-001,LINE-01,ORD-01-011,NOTE-000083,2025-04-09,quality,quality_containment,quality,edited,True,2025-04-09T13:10:00+00:00,2025-04-09T13:35:00+00:00,completed,2025-04-09T17:00:00+00:00,LINE-01:2025-04-09:quality_containment,train,synthetic
ACT-000031,FAC-001,LINE-01,ORD-01-011,NOTE-000084,2025-04-10,material,material_escalation,store_and_planning,approved,True,2025-04-10T13:10:00+00:00,2025-04-10T13:35:00+00:00,completed,2025-04-10T17:00:00+00:00,LINE-01:2025-04-10:material_escalation,train,synthetic
ACT-000032,FAC-001,LINE-01,ORD-01-012,NOTE-000090,2025-04-17,machine,machine_inspection,maintenance,approved,True,2025-04-17T13:10:00+00:00,2025-04-17T13:35:00+00:00,completed,2025-04-17T17:00:00+00:00,LINE-01:2025-04-17:machine_inspection,train,synthetic
ACT-000033,FAC-001,LINE-01,ORD-01-012,NOTE-000093,2025-04-21,material,material_escalation,store_and_planning,approved,True,2025-04-21T13:10:00+00:00,2025-04-21T13:35:00+00:00,completed,2025-04-21T17:00:00+00:00,LINE-01:2025-04-21:material_escalation,train,synthetic
ACT-000034,FAC-001,LINE-01,ORD-01-012,NOTE-000094,2025-04-22,machine,machine_inspection,maintenance,approved,True,2025-04-22T13:10:00+00:00,2025-04-22T13:35:00+00:00,completed,2025-04-22T17:00:00+00:00,LINE-01:2025-04-22:machine_inspection,train,synthetic
ACT-000035,FAC-001,LINE-01,ORD-01-013,NOTE-000097,2025-04-26,planning,plan_review,planning,approved,True,2025-04-26T13:10:00+00:00,2025-04-26T13:35:00+00:00,completed,2025-04-26T17:00:00+00:00,LINE-01:2025-04-26:plan_review,train,synthetic
ACT-000036,FAC-001,LINE-01,ORD-01-013,NOTE-000099,2025-04-28,manpower,operator_reallocation,production,approved,True,2025-04-28T13:10:00+00:00,2025-04-28T13:35:00+00:00,completed,2025-04-28T17:00:00+00:00,LINE-01:2025-04-28:operator_reallocation,train,synthetic
ACT-000037,FAC-001,LINE-01,ORD-01-013,NOTE-000104,2025-05-04,manpower,operator_reallocation,production,approved,True,2025-05-04T13:10:00+00:00,2025-05-04T13:35:00+00:00,completed,2025-05-04T17:00:00+00:00,LINE-01:2025-05-04:operator_reallocation,validation,synthetic
ACT-000038,FAC-001,LINE-01,ORD-01-014,NOTE-000108,2025-05-08,quality,quality_containment,quality,approved,True,2025-05-08T13:10:00+00:00,2025-05-08T13:35:00+00:00,completed,2025-05-08T17:00:00+00:00,LINE-01:2025-05-08:quality_containment,validation,synthetic
ACT-000039,FAC-001,LINE-01,ORD-01-014,NOTE-000115,2025-05-17,manpower,operator_reallocation,production,approved,True,2025-05-17T13:10:00+00:00,2025-05-17T13:35:00+00:00,completed,2025-05-17T17:00:00+00:00,LINE-01:2025-05-17:operator_reallocation,validation,synthetic
ACT-000040,FAC-001,LINE-01,ORD-01-014,NOTE-000116,2025-05-18,machine,machine_inspection,maintenance,approved,True,2025-05-18T13:10:00+00:00,2025-05-18T13:35:00+00:00,completed,2025-05-18T17:00:00+00:00,LINE-01:2025-05-18:machine_inspection,validation,synthetic
ACT-000041,FAC-001,LINE-01,ORD-01-014,NOTE-000118,2025-05-20,machine,machine_inspection,maintenance,rejected,True,2025-05-20T13:10:00+00:00,,not_executed,2025-05-20T17:00:00+00:00,LINE-01:2025-05-20:machine_inspection,validation,synthetic
ACT-000042,FAC-001,LINE-01,ORD-01-015,NOTE-000120,2025-05-22,planning,plan_review,planning,edited,True,2025-05-22T13:10:00+00:00,2025-05-22T13:35:00+00:00,completed,2025-05-22T17:00:00+00:00,LINE-01:2025-05-22:plan_review,validation,synthetic
ACT-000043,FAC-001,LINE-01,ORD-01-015,NOTE-000125,2025-05-28,quality,quality_containment,quality,approved,True,2025-05-28T13:10:00+00:00,2025-05-28T13:35:00+00:00,completed,2025-05-28T17:00:00+00:00,LINE-01:2025-05-28:quality_containment,validation,synthetic
ACT-000044,FAC-001,LINE-01,ORD-01-016,NOTE-000127,2025-05-31,planning,plan_review,planning,edited,True,2025-05-31T13:10:00+00:00,2025-05-31T13:35:00+00:00,in_progress,2025-05-31T17:00:00+00:00,LINE-01:2025-05-31:plan_review,validation,synthetic
ACT-000045,FAC-001,LINE-01,ORD-01-017,NOTE-000136,2025-06-10,manpower,operator_reallocation,production,approved,True,2025-06-10T13:10:00+00:00,2025-06-10T13:35:00+00:00,in_progress,2025-06-10T17:00:00+00:00,LINE-01:2025-06-10:operator_reallocation,test,synthetic
ACT-000046,FAC-001,LINE-01,ORD-01-017,NOTE-000138,2025-06-12,manpower,operator_reallocation,production,approved,True,2025-06-12T13:10:00+00:00,2025-06-12T13:35:00+00:00,completed,2025-06-12T17:00:00+00:00,LINE-01:2025-06-12:operator_reallocation,test,synthetic
ACT-000047,FAC-001,LINE-01,ORD-01-017,NOTE-000143,2025-06-18,machine,machine_inspection,maintenance,approved,True,2025-06-18T13:10:00+00:00,2025-06-18T13:35:00+00:00,completed,2025-06-18T17:00:00+00:00,LINE-01:2025-06-18:machine_inspection,test,synthetic
ACT-000048,FAC-001,LINE-01,ORD-01-017,NOTE-000145,2025-06-21,machine,machine_inspection,maintenance,approved,True,2025-06-21T13:10:00+00:00,2025-06-21T13:35:00+00:00,completed,2025-06-21T17:00:00+00:00,LINE-01:2025-06-21:machine_inspection,test,synthetic
ACT-000049,FAC-001,LINE-01,ORD-01-018,NOTE-000147,2025-06-23,method,line_rebalancing,industrial_engineering,rejected,True,2025-06-23T13:10:00+00:00,,not_executed,2025-06-23T17:00:00+00:00,LINE-01:2025-06-23:line_rebalancing,test,synthetic
ACT-000050,FAC-001,LINE-01,ORD-01-018,NOTE-000152,2025-06-29,quality,quality_containment,quality,rejected,True,2025-06-29T13:10:00+00:00,,not_executed,2025-06-29T17:00:00+00:00,LINE-01:2025-06-29:quality_containment,test,synthetic
ACT-000051,FAC-001,LINE-02,ORD-02-001,NOTE-000154,2025-01-04,planning,plan_review,planning,approved,True,2025-01-04T13:10:00+00:00,2025-01-04T13:35:00+00:00,completed,2025-01-04T17:00:00+00:00,LINE-02:2025-01-04:plan_review,train,synthetic
ACT-000052,FAC-001,LINE-02,ORD-02-001,NOTE-000155,2025-01-05,machine,machine_inspection,maintenance,approved,True,2025-01-05T13:10:00+00:00,2025-01-05T13:35:00+00:00,completed,2025-01-05T17:00:00+00:00,LINE-02:2025-01-05:machine_inspection,train,synthetic
ACT-000053,FAC-001,LINE-02,ORD-02-002,NOTE-000159,2025-01-09,planning,plan_review,planning,approved,True,2025-01-09T13:10:00+00:00,2025-01-09T13:35:00+00:00,completed,2025-01-09T17:00:00+00:00,LINE-02:2025-01-09:plan_review,train,synthetic
ACT-000054,FAC-001,LINE-02,ORD-02-002,NOTE-000160,2025-01-11,quality,quality_containment,quality,edited,True,2025-01-11T13:10:00+00:00,2025-01-11T13:35:00+00:00,completed,2025-01-11T17:00:00+00:00,LINE-02:2025-01-11:quality_containment,train,synthetic
ACT-000055,FAC-001,LINE-02,ORD-02-002,NOTE-000161,2025-01-12,material,material_escalation,store_and_planning,approved,True,2025-01-12T13:10:00+00:00,2025-01-12T13:35:00+00:00,completed,2025-01-12T17:00:00+00:00,LINE-02:2025-01-12:material_escalation,train,synthetic
ACT-000056,FAC-001,LINE-02,ORD-02-002,NOTE-000163,2025-01-14,quality,quality_containment,quality,approved,True,2025-01-14T13:10:00+00:00,2025-01-14T13:35:00+00:00,completed,2025-01-14T17:00:00+00:00,LINE-02:2025-01-14:quality_containment,train,synthetic
ACT-000057,FAC-001,LINE-02,ORD-02-003,NOTE-000168,2025-01-20,method,line_rebalancing,industrial_engineering,edited,True,2025-01-20T13:10:00+00:00,2025-01-20T13:35:00+00:00,completed,2025-01-20T17:00:00+00:00,LINE-02:2025-01-20:line_rebalancing,train,synthetic
ACT-000058,FAC-001,LINE-02,ORD-02-004,NOTE-000176,2025-01-29,method,line_rebalancing,industrial_engineering,approved,True,2025-01-29T13:10:00+00:00,2025-01-29T13:35:00+00:00,completed,2025-01-29T17:00:00+00:00,LINE-02:2025-01-29:line_rebalancing,train,synthetic
ACT-000059,FAC-001,LINE-02,ORD-02-004,NOTE-000177,2025-01-30,material,material_escalation,store_and_planning,approved,True,2025-01-30T13:10:00+00:00,2025-01-30T13:35:00+00:00,completed,2025-01-30T17:00:00+00:00,LINE-02:2025-01-30:material_escalation,train,synthetic
ACT-000060,FAC-001,LINE-02,ORD-02-004,NOTE-000179,2025-02-02,quality,quality_containment,quality,approved,True,2025-02-02T13:10:00+00:00,2025-02-02T13:35:00+00:00,completed,2025-02-02T17:00:00+00:00,LINE-02:2025-02-02:quality_containment,train,synthetic
ACT-000061,FAC-001,LINE-02,ORD-02-004,NOTE-000181,2025-02-04,quality,quality_containment,quality,approved,True,2025-02-04T13:10:00+00:00,2025-02-04T13:35:00+00:00,completed,2025-02-04T17:00:00+00:00,LINE-02:2025-02-04:quality_containment,train,synthetic
ACT-000062,FAC-001,LINE-02,ORD-02-004,NOTE-000186,2025-02-10,manpower,operator_reallocation,production,edited,True,2025-02-10T13:10:00+00:00,2025-02-10T13:35:00+00:00,completed,2025-02-10T17:00:00+00:00,LINE-02:2025-02-10:operator_reallocation,train,synthetic
ACT-000063,FAC-001,LINE-02,ORD-02-005,NOTE-000188,2025-02-12,method,line_rebalancing,industrial_engineering,approved,True,2025-02-12T13:10:00+00:00,2025-02-12T13:35:00+00:00,completed,2025-02-12T17:00:00+00:00,LINE-02:2025-02-12:line_rebalancing,train,synthetic
ACT-000064,FAC-001,LINE-02,ORD-02-005,NOTE-000189,2025-02-13,machine,machine_inspection,maintenance,rejected,True,2025-02-13T13:10:00+00:00,,not_executed,2025-02-13T17:00:00+00:00,LINE-02:2025-02-13:machine_inspection,train,synthetic
ACT-000065,FAC-001,LINE-02,ORD-02-005,NOTE-000194,2025-02-19,machine,machine_inspection,maintenance,approved,True,2025-02-19T13:10:00+00:00,2025-02-19T13:35:00+00:00,completed,2025-02-19T17:00:00+00:00,LINE-02:2025-02-19:machine_inspection,train,synthetic
ACT-000066,FAC-001,LINE-02,ORD-02-006,NOTE-000196,2025-02-22,method,line_rebalancing,industrial_engineering,edited,True,2025-02-22T13:10:00+00:00,2025-02-22T13:35:00+00:00,completed,2025-02-22T17:00:00+00:00,LINE-02:2025-02-22:line_rebalancing,train,synthetic
ACT-000067,FAC-001,LINE-02,ORD-02-006,NOTE-000198,2025-02-24,machine,machine_inspection,maintenance,approved,True,2025-02-24T13:10:00+00:00,2025-02-24T13:35:00+00:00,completed,2025-02-24T17:00:00+00:00,LINE-02:2025-02-24:machine_inspection,train,synthetic
ACT-000068,FAC-001,LINE-02,ORD-02-007,NOTE-000207,2025-03-06,planning,plan_review,planning,approved,True,2025-03-06T13:10:00+00:00,2025-03-06T13:35:00+00:00,in_progress,2025-03-06T17:00:00+00:00,LINE-02:2025-03-06:plan_review,train,synthetic
ACT-000069,FAC-001,LINE-02,ORD-02-008,NOTE-000215,2025-03-16,material,material_escalation,store_and_planning,edited,True,2025-03-16T13:10:00+00:00,2025-03-16T13:35:00+00:00,completed,2025-03-16T17:00:00+00:00,LINE-02:2025-03-16:material_escalation,train,synthetic
ACT-000070,FAC-001,LINE-02,ORD-02-008,NOTE-000219,2025-03-20,machine,machine_inspection,maintenance,rejected,True,2025-03-20T13:10:00+00:00,,not_executed,2025-03-20T17:00:00+00:00,LINE-02:2025-03-20:machine_inspection,train,synthetic
ACT-000071,FAC-001,LINE-02,ORD-02-008,NOTE-000220,2025-03-22,manpower,operator_reallocation,production,approved,True,2025-03-22T13:10:00+00:00,2025-03-22T13:35:00+00:00,completed,2025-03-22T17:00:00+00:00,LINE-02:2025-03-22:operator_reallocation,train,synthetic
ACT-000072,FAC-001,LINE-02,ORD-02-009,NOTE-000222,2025-03-24,method,line_rebalancing,industrial_engineering,approved,True,2025-03-24T13:10:00+00:00,2025-03-24T13:35:00+00:00,completed,2025-03-24T17:00:00+00:00,LINE-02:2025-03-24:line_rebalancing,train,synthetic
ACT-000073,FAC-001,LINE-02,ORD-02-009,NOTE-000225,2025-03-27,manpower,operator_reallocation,production,approved,True,2025-03-27T13:10:00+00:00,2025-03-27T13:35:00+00:00,completed,2025-03-27T17:00:00+00:00,LINE-02:2025-03-27:operator_reallocation,train,synthetic
ACT-000074,FAC-001,LINE-02,ORD-02-009,NOTE-000226,2025-03-29,machine,machine_inspection,maintenance,approved,True,2025-03-29T13:10:00+00:00,2025-03-29T13:35:00+00:00,in_progress,2025-03-29T17:00:00+00:00,LINE-02:2025-03-29:machine_inspection,train,synthetic
ACT-000075,FAC-001,LINE-02,ORD-02-010,NOTE-000228,2025-03-31,method,line_rebalancing,industrial_engineering,approved,True,2025-03-31T13:10:00+00:00,2025-03-31T13:35:00+00:00,completed,2025-03-31T17:00:00+00:00,LINE-02:2025-03-31:line_rebalancing,train,synthetic
ACT-000076,FAC-001,LINE-02,ORD-02-010,NOTE-000235,2025-04-08,manpower,operator_reallocation,production,edited,True,2025-04-08T13:10:00+00:00,2025-04-08T13:35:00+00:00,completed,2025-04-08T17:00:00+00:00,LINE-02:2025-04-08:operator_reallocation,train,synthetic
ACT-000077,FAC-001,LINE-02,ORD-02-010,NOTE-000236,2025-04-09,manpower,operator_reallocation,production,approved,True,2025-04-09T13:10:00+00:00,2025-04-09T13:35:00+00:00,completed,2025-04-09T17:00:00+00:00,LINE-02:2025-04-09:operator_reallocation,train,synthetic
ACT-000078,FAC-001,LINE-02,ORD-02-010,NOTE-000237,2025-04-10,material,material_escalation,store_and_planning,approved,True,2025-04-10T13:10:00+00:00,2025-04-10T13:35:00+00:00,in_progress,2025-04-10T17:00:00+00:00,LINE-02:2025-04-10:material_escalation,train,synthetic
ACT-000079,FAC-001,LINE-02,ORD-02-011,NOTE-000240,2025-04-14,method,line_rebalancing,industrial_engineering,approved,True,2025-04-14T13:10:00+00:00,2025-04-14T13:35:00+00:00,completed,2025-04-14T17:00:00+00:00,LINE-02:2025-04-14:line_rebalancing,train,synthetic
ACT-000080,FAC-001,LINE-02,ORD-02-012,NOTE-000246,2025-04-21,machine,machine_inspection,maintenance,approved,True,2025-04-21T13:10:00+00:00,2025-04-21T13:35:00+00:00,completed,2025-04-21T17:00:00+00:00,LINE-02:2025-04-21:machine_inspection,train,synthetic
ACT-000081,FAC-001,LINE-02,ORD-02-012,NOTE-000247,2025-04-22,planning,plan_review,planning,approved,True,2025-04-22T13:10:00+00:00,2025-04-22T13:35:00+00:00,in_progress,2025-04-22T17:00:00+00:00,LINE-02:2025-04-22:plan_review,train,synthetic
ACT-000082,FAC-001,LINE-02,ORD-02-012,NOTE-000248,2025-04-23,machine,machine_inspection,maintenance,edited,True,2025-04-23T13:10:00+00:00,2025-04-23T13:35:00+00:00,completed,2025-04-23T17:00:00+00:00,LINE-02:2025-04-23:machine_inspection,train,synthetic
ACT-000083,FAC-001,LINE-02,ORD-02-012,NOTE-000250,2025-04-26,manpower,operator_reallocation,production,rejected,True,2025-04-26T13:10:00+00:00,,not_executed,2025-04-26T17:00:00+00:00,LINE-02:2025-04-26:operator_reallocation,train,synthetic
ACT-000084,FAC-001,LINE-02,ORD-02-012,NOTE-000253,2025-04-29,manpower,operator_reallocation,production,edited,True,2025-04-29T13:10:00+00:00,2025-04-29T13:35:00+00:00,completed,2025-04-29T17:00:00+00:00,LINE-02:2025-04-29:operator_reallocation,train,synthetic
ACT-000085,FAC-001,LINE-02,ORD-02-013,NOTE-000256,2025-05-03,machine,machine_inspection,maintenance,approved,True,2025-05-03T13:10:00+00:00,2025-05-03T13:35:00+00:00,completed,2025-05-03T17:00:00+00:00,LINE-02:2025-05-03:machine_inspection,validation,synthetic
ACT-000086,FAC-001,LINE-02,ORD-02-014,NOTE-000263,2025-05-11,planning,plan_review,planning,approved,True,2025-05-11T13:10:00+00:00,2025-05-11T13:35:00+00:00,completed,2025-05-11T17:00:00+00:00,LINE-02:2025-05-11:plan_review,validation,synthetic
ACT-000087,FAC-001,LINE-02,ORD-02-014,NOTE-000266,2025-05-14,manpower,operator_reallocation,production,approved,True,2025-05-14T13:10:00+00:00,2025-05-14T13:35:00+00:00,completed,2025-05-14T17:00:00+00:00,LINE-02:2025-05-14:operator_reallocation,validation,synthetic
ACT-000088,FAC-001,LINE-02,ORD-02-014,NOTE-000267,2025-05-15,machine,machine_inspection,maintenance,approved,True,2025-05-15T13:10:00+00:00,2025-05-15T13:35:00+00:00,completed,2025-05-15T17:00:00+00:00,LINE-02:2025-05-15:machine_inspection,validation,synthetic
ACT-000089,FAC-001,LINE-02,ORD-02-014,NOTE-000268,2025-05-17,manpower,operator_reallocation,production,approved,True,2025-05-17T13:10:00+00:00,2025-05-17T13:35:00+00:00,completed,2025-05-17T17:00:00+00:00,LINE-02:2025-05-17:operator_reallocation,validation,synthetic
ACT-000090,FAC-001,LINE-02,ORD-02-014,NOTE-000270,2025-05-19,machine,machine_inspection,maintenance,approved,True,2025-05-19T13:10:00+00:00,2025-05-19T13:35:00+00:00,in_progress,2025-05-19T17:00:00+00:00,LINE-02:2025-05-19:machine_inspection,validation,synthetic
ACT-000091,FAC-001,LINE-02,ORD-02-015,NOTE-000272,2025-05-21,planning,plan_review,planning,approved,True,2025-05-21T13:10:00+00:00,2025-05-21T13:35:00+00:00,completed,2025-05-21T17:00:00+00:00,LINE-02:2025-05-21:plan_review,validation,synthetic
ACT-000092,FAC-001,LINE-02,ORD-02-015,NOTE-000278,2025-05-28,machine,machine_inspection,maintenance,edited,True,2025-05-28T13:10:00+00:00,2025-05-28T13:35:00+00:00,in_progress,2025-05-28T17:00:00+00:00,LINE-02:2025-05-28:machine_inspection,validation,synthetic
ACT-000093,FAC-001,LINE-02,ORD-02-016,NOTE-000280,2025-05-31,method,line_rebalancing,industrial_engineering,approved,True,2025-05-31T13:10:00+00:00,2025-05-31T13:35:00+00:00,completed,2025-05-31T17:00:00+00:00,LINE-02:2025-05-31:line_rebalancing,validation,synthetic
ACT-000094,FAC-001,LINE-02,ORD-02-016,NOTE-000283,2025-06-03,machine,machine_inspection,maintenance,approved,True,2025-06-03T13:10:00+00:00,2025-06-03T13:35:00+00:00,completed,2025-06-03T17:00:00+00:00,LINE-02:2025-06-03:machine_inspection,test,synthetic
ACT-000095,FAC-001,LINE-02,ORD-02-016,NOTE-000286,2025-06-07,manpower,operator_reallocation,production,approved,True,2025-06-07T13:10:00+00:00,2025-06-07T13:35:00+00:00,completed,2025-06-07T17:00:00+00:00,LINE-02:2025-06-07:operator_reallocation,test,synthetic
ACT-000096,FAC-001,LINE-02,ORD-02-016,NOTE-000287,2025-06-08,quality,quality_containment,quality,approved,True,2025-06-08T13:10:00+00:00,2025-06-08T13:35:00+00:00,completed,2025-06-08T17:00:00+00:00,LINE-02:2025-06-08:quality_containment,test,synthetic
ACT-000097,FAC-001,LINE-02,ORD-02-017,NOTE-000289,2025-06-10,planning,plan_review,planning,approved,True,2025-06-10T13:10:00+00:00,2025-06-10T13:35:00+00:00,completed,2025-06-10T17:00:00+00:00,LINE-02:2025-06-10:plan_review,test,synthetic
ACT-000098,FAC-001,LINE-02,ORD-02-017,NOTE-000291,2025-06-12,material,material_escalation,store_and_planning,approved,True,2025-06-12T13:10:00+00:00,2025-06-12T13:35:00+00:00,completed,2025-06-12T17:00:00+00:00,LINE-02:2025-06-12:material_escalation,test,synthetic
